,Employment,AvgPrice,AvgWage,TotalInv,PositionsStd,AvgPositions
0,1000,1.0,3.0,63000.0,0.0,10.0
1,1000,1.0,3.0,62995.441216761035,0.0,10.0
2,1000,1.0,3.0,62990.88243352207,0.0,10.0
3,1000,1.0,3.0,62986.32365028311,0.0,10.0
4,1000,1.0,3.0,62981.76486704415,0.0,10.0
5,1000,1.0,3.0,62977.206083805184,0.0,10.0
6,1000,1.0,3.0,62972.64730056623,0.0,10.0
7,1000,1.0,3.0,62968.08851732726,0.0,10.0
8,1000,1.0,3.0,62963.5297340883,0.0,10.0
9,1000,1.0,3.0,62958.97095084933,0.0,10.0
10,1000,1.0,3.0,62954.41216761037,0.0,10.0
11,1000,1.0,3.0,62949.8533843714,0.0,10.0
12,1000,1.0,3.0,62945.29460113244,0.0,10.0
13,1000,1.0,3.0,62940.735817893474,0.0,10.0
14,1000,1.0,3.0,62936.17703465451,0.0,10.0
15,1000,1.0,3.0,62931.618251415544,0.0,10.0
16,1000,1.0,3.0,62927.05946817658,0.0,10.0
17,1000,1.0,3.0,62922.500684937615,0.0,10.0
18,1000,1.0,3.0,62917.94190169864,0.0,10.0
19,1000,1.0,3.0,62913.38311845968,0.0,10.0
20,1000,1.0,3.0,62908.82433522071,0.0,10.0
21,1000,1.0,3.0,62904.265551981734,0.0,10.0
22,1000,1.0,3.0,62826.79359267633,0.5021167315686783,9.52
23,1000,1.0,3.0,62749.32163337093,0.5021167315686783,9.52
24,1000,1.0,3.0,62671.84967406552,0.5021167315686783,9.52
25,1000,1.0,3.0,62594.377714760114,0.5021167315686783,9.52
26,1000,1.0,3.0,62516.9057554547,0.5021167315686783,9.52
27,1000,1.0,3.0,62439.43379614929,0.5021167315686783,9.52
28,1000,1.0,3.0,62361.96183684389,0.5021167315686783,9.52
29,1000,1.0,3.0,62284.48987753848,0.5021167315686783,9.52
30,1000,1.0,3.0,62207.01791823307,0.5021167315686783,9.52
31,1000,1.0,3.0,62129.545958927665,0.5021167315686783,9.52
32,1000,1.0,3.0,62052.073999622255,0.5021167315686783,9.52
33,1000,1.0,3.0,61974.602040316844,0.5021167315686783,9.52
34,1000,1.0,3.0,61897.13008101143,0.5021167315686783,9.52
35,1000,1.0,3.0,61819.65812170602,0.5021167315686783,9.52
36,1000,1.0,3.0,61742.18616240061,0.5021167315686783,9.52
37,1000,1.0,3.0,61664.7142030952,0.5021167315686783,9.52
38,1000,1.0,3.0,61587.242243789784,0.5021167315686783,9.52
39,1000,1.0,3.0,61509.77028448437,0.5021167315686783,9.52
40,1000,1.0,3.0,61432.29832517896,0.5021167315686783,9.52
41,1000,1.0,3.0,61354.826365873545,0.5021167315686783,9.52
42,1000,1.0,3.0,61277.354406568134,0.5021167315686783,9.52
43,955,1.0001561191961832,3.0,61065.43722398639,0.9318169499868675,9.02
44,955,1.0001561191961832,3.0,60853.52004140464,0.9318169499868675,9.02
45,955,1.0001561191961832,3.0,60641.6028588229,0.9318169499868675,9.02
46,955,1.0001561191961832,3.0,60429.685676241155,0.9318169499868675,9.02
47,955,1.0001561191961832,3.0,60217.76849365941,0.9318169499868675,9.02
48,955,1.0001561191961832,3.0,60005.85131107767,0.9318169499868675,9.02
49,955,1.0001561191961832,3.0,59793.93412849592,0.9318169499868675,9.02
50,955,1.0001561191961832,3.0,59582.016945914176,0.9318169499868675,9.02
51,955,1.0001561191961832,3.0,59370.09976333243,0.9318169499868675,9.02
52,955,1.0001561191961832,3.0,59158.18258075068,0.9318169499868675,9.02
53,955,1.0001561191961832,3.0,58946.26539816894,0.9318169499868675,9.02
54,955,1.0001561191961832,3.0,58734.34821558719,0.9318169499868675,9.02
55,955,1.0001561191961832,3.0,58522.43103300544,0.9318169499868675,9.02
56,955,1.0001561191961832,3.0,58310.5138504237,0.9318169499868675,9.02
57,955,1.0001561191961832,3.0,58098.59666784196,0.9318169499868675,9.02
58,955,1.0001561191961832,3.0,57886.67948526021,0.9318169499868675,9.02
59,955,1.0001561191961832,3.0,57674.762302678464,0.9318169499868675,9.02
60,955,1.0001561191961832,3.0,57462.84512009672,0.9318169499868675,9.02
61,955,1.0001561191961832,3.0,57250.92793751496,0.9318169499868675,9.02
62,955,1.0001561191961832,3.0,57039.01075493322,0.9318169499868675,9.02
63,955,1.0001561191961832,3.0,56827.09357235147,0.9318169499868675,9.02
64,906,1.0005808448504332,3.0,56469.22989732927,1.3857499883828361,8.67
65,906,1.0005808448504332,3.0,56111.366222307064,1.3857499883828361,8.67
66,906,1.0005808448504332,3.0,55753.502547284865,1.3857499883828361,8.67
67,906,1.0005808448504332,3.0,55395.63887226266,1.3857499883828361,8.67
68,906,1.0005808448504332,3.0,55037.77519724045,1.3857499883828361,8.67
69,906,1.0005808448504332,3.0,54679.911522218244,1.3857499883828361,8.67
70,906,1.0005808448504332,3.0,54322.04784719604,1.3857499883828361,8.67
71,906,1.0005808448504332,3.0,53964.18417217383,1.3857499883828361,8.67
72,906,1.0005808448504332,3.0,53606.320497151624,1.3857499883828361,8.67
73,906,1.0005808448504332,3.0,53248.45682212942,1.3857499883828361,8.67
74,906,1.0005808448504332,3.0,52890.59314710721,1.3857499883828361,8.67
75,906,1.0005808448504332,3.0,52532.729472085004,1.3857499883828361,8.67
76,906,1.0005808448504332,3.0,52174.86579706279,1.3857499883828361,8.67
77,906,1.0005808448504332,3.0,51817.125373677954,1.3857499883828361,8.67
78,906,1.0005808448504332,3.0,51459.26169865575,1.3857499883828361,8.67
79,906,1.0005808448504332,3.0,51101.398023633534,1.3857499883828361,8.67
80,906,1.0005808448504332,3.0,50743.53434861133,1.3857499883828361,8.67
81,906,1.0005808448504332,3.0,50385.67067358912,1.3857499883828361,8.67
82,906,1.0005808448504332,3.0,50027.806998566906,1.3857499883828361,8.67
83,906,1.0005808448504332,3.0,49669.9433235447,1.3857499883828361,8.67
84,906,1.0005808448504332,3.0,49312.079648522486,1.3857499883828361,8.67
85,877,1.0012537632420766,3.0,48868.961133280536,1.8392741212036048,8.53
86,877,1.0012537632420766,3.0,48425.842618038594,1.8392741212036048,8.53
87,877,1.0012537632420766,3.0,47982.72410279665,1.8392741212036048,8.53
88,877,1.0012537632420766,3.0,47539.6055875547,1.8392741212036048,8.53
89,877,1.0012537632420766,3.0,47096.48707231276,1.8392741212036048,8.53
90,877,1.0012537632420766,3.0,46653.36855707081,1.8392741212036048,8.53
91,877,1.0012537632420766,3.0,46210.25004182887,1.8392741212036048,8.53
92,877,1.0012537632420766,3.0,45767.13152658692,1.8392741212036048,8.53
93,877,1.0012537632420766,3.0,45324.01301134498,1.8392741212036048,8.53
94,877,1.0012537632420766,3.0,44880.89449610303,1.8392741212036048,8.53
95,877,1.0012537632420766,3.0,44437.775980861086,1.8392741212036048,8.53
96,877,1.0012537632420766,3.0,43994.657465619144,1.8392741212036048,8.53
97,877,1.0012537632420766,3.0,43551.538950377195,1.8392741212036048,8.53
98,877,1.0012537632420766,3.0,43108.42043513525,1.8392741212036048,8.53
99,877,1.0012537632420766,3.0,42665.3019198933,1.8392741212036048,8.53
100,877,1.0012537632420766,3.0,42222.18340465136,1.8392741212036048,8.53
101,877,1.0012537632420766,3.0,41779.06488940942,1.8392741212036048,8.53
102,877,1.0012537632420766,3.0,41335.94637416747,1.8392741212036048,8.53
103,877,1.0012537632420766,3.0,40892.82785892553,1.8392741212036048,8.53
104,877,1.0012537632420766,3.0,40449.709343683586,1.8392741212036048,8.53
105,877,1.0012537632420766,3.0,40006.59082844164,1.8392741212036048,8.53
106,863,1.002135789949984,3.0,39524.094256655844,2.2087978356535665,8.5
107,863,1.002135789949984,3.0,39041.59768487005,2.2087978356535665,8.5
108,863,1.002135789949984,3.0,38559.10111308426,2.2087978356535665,8.5
109,863,1.002135789949984,3.0,38076.60454129847,2.2087978356535665,8.5
110,863,1.002135789949984,3.0,37594.107969512675,2.2087978356535665,8.5
